fnid,pre_home_distance,post_home_distance,LU_Business,LU_City_Road,LU_Consumption,LU_Culture,LU_Industry,LU_Medical,LU_Park_&_Scenery,LU_Public,LU_Residence,LU_Science_&_Education,LU_Special,LU_Transportation,LU_Wild
17265.0,32.31098884,20.1246118,0.330412522,1.170816876,0.0,0.0,0.0,0.0,0.061616154,0.6991201530000001,2.840933359,0.864037745,0.0,0.0,0.03023696
15470.0,35.05709629,28.28427125,0.367084996,1.176479927,0.035707864,0.0,0.089712594,0.0,0.061616154,0.625118162,1.517868639,0.41304614500000003,0.0,0.241541002,0.264430938
27962.0,1.0,49.81967483,0.036672474,0.536830923,0.035707864,0.0,0.089712594,0.0,0.0,0.074001991,2.60953602,1.103048504,0.0,0.241541002,0.239907742
22184.0,68.8839604,99.689518,0.209649992,1.196012476,0.543208926,0.0,0.357052215,0.100890887,0.048510837,0.049509078,1.8977716190000002,0.005150564,0.0,0.0,0.21899688900000003
19680.0,75.58438992,103.247276,0.17665971,0.415825061,0.133941426,0.0,0.357052215,0.0,0.0,0.0,0.60348502,0.0,0.0,0.0,0.699651464
21884.0,19.72308292,45.65084884,0.036672474,0.317792163,0.035707864,0.0,0.089712594,0.0,0.0,0.0,0.64323565,0.326028452,0.0,0.241541002,0.742820087
19769.0,28.60069929,20.61552813,0.904877485,1.16445988,0.524366563,0.0,0.252393275,0.0,0.005475088,0.42083950200000003,0.195942986,0.046246532,0.0,0.0,0.454744121
17994.0,38.89730068,11.40175425,0.9415499589999999,1.17740368,0.560074427,0.0,0.34210586899999995,0.0,0.0,0.403959671,0.8391786360000001,0.37227498400000003,0.0,0.241541002,0.23705086
21502.0,39.35733731,68.30812543,0.169777662,1.132059511,0.396948959,0.0,0.318535094,0.0,0.0,0.042228038,1.2990547239999999,0.369376176,0.0,0.241541002,0.310932518
21544.0,19.31320792,31.144823,0.212545211,1.03633282,0.810030033,0.0,0.089712594,0.0,0.0,0.00527131,0.64323565,0.326031212,0.0,0.241541002,0.46839882899999996
13335.0,41.97618372,21.09502311,0.036672474,1.228415219,0.035707864,0.30722302,0.089712594,0.0,0.0,0.0,1.049086729,0.370208427,0.0,0.241541002,0.422362637
11547.0,46.38965402,25.0,0.0,1.752631094,0.0,0.30722302,0.0,0.0,0.010440185,0.0,0.660508526,0.143353007,1.566646105,0.002649472,0.306213899
30820.0,8.062257748,55.22680509,0.036672474,0.695383576,0.452385206,0.0,0.27958621699999997,0.0,0.008814866,0.017645671,1.2466386200000001,1.072206326,0.0,0.241541002,0.35371315400000003
21220.0,44.28317965,22.36067977,0.036672474,0.75078483,0.162904034,0.072920586,0.186091242,0.176322878,0.0,0.095737174,1.986278233,0.645723632,0.0,0.241541002,0.289945948
15103.0,36.87817783,38.11823711,0.43494245600000003,0.8158992549999999,0.467411894,0.551344509,0.089712594,0.005500271,0.0,0.0,1.8994876250000001,0.454397854,0.0,0.241541002,0.23705086
14428.0,49.04079934,1.414213562,0.5388064,1.800446416,0.310400615,0.276031865,0.0,0.306277151,0.046331575,0.257108269,1.399042654,0.55496576,0.0,0.762569888,0.025063218999999998
13337.0,42.44997055,19.10497317,0.210984613,1.392839001,0.035707864,0.276031865,0.089712594,0.306277151,0.046331575,0.116496195,1.241967475,0.792264398,0.0,0.241541002,0.24181539900000001
12595.0,46.23851209,47.16990566,0.036672474,1.309724704,0.035707864,0.0,0.089712594,0.177352294,0.047140182,0.0,0.64323565,0.326028452,0.0,0.241541002,0.49692988000000005
22971.0,15.23154621,34.6554469,0.036672474,1.394622826,0.035707864,0.0,0.089712594,0.0,0.0,0.003145102,0.64323565,0.326028452,0.0,0.241541002,0.496632253
18333.0,28.46049894,24.18677324,0.036672474,0.8810347439999999,0.035707864,0.0,0.089712594,0.0,0.0,0.121646413,1.2045957120000002,0.326028452,0.0,0.241541002,0.499182977
15827.0,34.05877273,28.44292531,0.052061682,1.604559821,0.0,0.371855342,0.0,0.0,0.296644004,0.204355333,1.123697084,0.547037395,0.0,0.0,0.296552326
17268.0,33.54101966,17.49285568,0.036672474,0.271246987,0.035707864,0.0,0.089712594,0.0,2.2440535,0.0,0.64323565,0.326028452,0.0,0.241541002,0.519778535
16907.0,32.89376841,20.61552813,0.036672474,0.9924695880000001,0.035707864,0.0,0.089712594,0.0,0.002017089,0.0,1.4440627410000002,0.794376231,0.0,0.241541002,0.389548022
14746.0,37.85498646,38.05259518,1.765821706,1.214361861,0.072747906,0.0,0.420742166,0.044097131,0.0,0.001538109,1.167824823,0.033502939999999995,0.0,0.0,0.247833565
22932.0,35.84689666,67.77905281,0.036672474,0.527862534,0.10845577,0.0,0.51045476,0.0,0.0,0.001538109,1.102150996,0.358619935,0.0,0.241541002,0.484884425
18003.0,45.607017,12.52996409,0.057132693,0.646198313,0.26707997299999997,0.0,0.089712594,3.020621494,0.0,0.0,1.075751612,0.9114238139999999,0.0,0.241541002,0.242256835
18005.0,47.20169488,13.60147051,0.191434931,1.72191408,0.033247569,0.276031865,0.0,0.306277151,0.046331575,0.158740925,2.095257781,1.263587863,0.0,0.0,0.010633716
15853.0,44.04543109,5.385164807,1.144599616,0.8651586579999999,0.212468278,0.0,0.089712594,0.0,0.0,0.979347367,1.198293616,0.594484293,0.0,0.241541002,0.23705086
17293.0,50.0,13.45362405,0.132139296,0.488278165,0.136820927,0.017668561,0.042910898,0.068471729,0.049253777,0.046856879,1.959764176,0.341208845,0.0,0.449761924,0.414091827
27963.0,0.0,49.2036584,0.132139296,0.910924054,0.593239926,0.237053452,0.042910898,0.068471729,0.049253777,0.013451289,0.6716301929999999,0.19218213099999998,0.0,0.449761924,0.488960809
12620.0,43.73785546,22.36067977,1.536963426,1.087173511,1.493749143,0.22877159,0.249998294,0.0,0.0,0.0,0.720302585,0.030968857,0.0,0.0,0.232370464
15844.0,38.94868419,12.08304597,1.669102722,0.892890751,1.174151071,0.008281862,0.292909192,0.068471729,0.049253777,0.013451289,0.568720744,0.161213274,0.0,0.449761924,0.256590345
18365.0,49.09175083,16.2788206,0.364494261,0.871232631,0.750149042,0.070341526,0.0,0.0,0.025561826,0.755425053,2.073882451,0.797565184,0.0,0.762569888,0.039823695
15854.0,44.68780594,5.099019514,1.222159264,1.374205891,0.661431026,0.22877159,0.0,0.129152313,0.0,0.280302269,0.8018647379999999,0.419388461,0.0,0.0,0.258098244
